Organisation Name,org_name_normalized,has_multiple_towns,has_multiple_counties,Town/City,County,Type & Rating,Route,raw_name_variants,match_status,match_error,best_candidate_score,best_candidate_title,best_candidate_company_number
(A1F1 Limited T/A ) Ultrasound Direct London,a1f1 t a ultrasound direct london,False,False,Croydon,London,Worker (A rating),Skilled Worker,(A1F1 Limited T/A ) Ultrasound Direct London,unmatched,,0.4881,VASCULAR ULTRASOUND LONDON LIMITED,15593318
*ABOUTCARE HASTINGS LTD,aboutcare hastings,False,False,East Sussex,,Worker (A rating),Skilled Worker,*ABOUTCARE HASTINGS LTD,unmatched,,,,
1 Indus Limited,1 indus,False,False,Bath,,Worker (A rating),Skilled Worker,1 Indus Limited,unmatched,,0.3929,1INDUS LIMITED,14253338
1 Life London Limited,1 life london,False,False,Streatham,,Worker (A rating),Skilled Worker,1 Life London Limited,unmatched,,0.5786,BEAUTIFUL LIFE LONDON LIMITED,11764852
10 Squared Ltd,10 squared,False,False,Pocklington,East riding of yorkshire,Worker (A rating),Skilled Worker,10 Squared Ltd,unmatched,,0.6136,100 SQUARED LTD,05767695
100 Percent Cornwall Ltd,100 percent cornwall,False,False,Truro,Cornwall,Worker (A rating),Skilled Worker,100 Percent Cornwall Ltd,unmatched,,0.67,100 PERCENT LTD,09442127
101 Ways Limited,101 ways,False,False,London,,Worker (A rating),Skilled Worker,101 Ways Limited,unmatched,,0.6682,101 WAYS SERVICES LIMITED,12397576
1010 Restaurant @ The Blacksmiths arms,1010 restaurant the blacksmiths arms,False,False,Billingshurst,West Sussex,Worker (A rating),Skilled Worker,1010 Restaurant @ The Blacksmiths arms,unmatched,,0.6167,THE BLACKSMITHS ARMS (FLAXTON) LTD,16701647
1066 Foodservice Limited trading as Roosters Piri Piri,1066 foodservice trading as roosters piri piri,False,False,Harrow,Middlesex,Worker (A rating),Skilled Worker,1066 Foodservice Limited trading as Roosters Piri Piri,unmatched,,0.4022,THE ROOSTERS PIRI PIRI FOUNDATION,CE015058
108 RETAIL LIMITED T/A SPAR,108 retail t a spar,False,False,Glasgow,,Worker (A rating),Skilled Worker,108 RETAIL LIMITED T/A SPAR,unmatched,,0.5805,108 RETAIL LIMITED,SC723274
10ACT Ltd T/A TrackBack,10act t a trackback,False,False,"Chilworth, Southampton",Hampshire,Worker (A rating),Skilled Worker,10ACT Ltd T/A TrackBack,unmatched,,0.4016,TRACKBACK SOLUTIONS LIMITED,16516382
11 Hospitality Limited T/A Holiday Inn Birmingham Airport NEC,11 hospitality t a holiday inn birmingham airport nec,False,False,Birmingham,,Worker (A rating),Skilled Worker,11 Hospitality Limited T/A Holiday Inn Birmingham Airport NEC,unmatched,,0.4387,11 HOSPITALITY (BIRMINGHAM) LIMITED,04056337
111 By Nico Ltd,111 by nico,False,False,Glasgow,,Worker (A rating),Skilled Worker,111 By Nico Ltd,unmatched,,0.6967,111 BY MODOU LTD,SC588880
114 GPS Ltd  T/A Sushi Atelier,114 gps t a sushi atelier,False,False,LONDON,,Worker (A rating),Skilled Worker,114 GPS Ltd  T/A Sushi Atelier,unmatched,,0.442,114 GPS LIMITED,10757916
1214 Construction,1214 construction,False,False,Bradford,,Worker (A rating),Skilled Worker,1214 Construction,unmatched,,0.4618,ENSCO 1214 LIMITED,10560379
123 Insight Limited,123 insight,False,False,Durely,Southampton,Worker (A rating),Skilled Worker,123 Insight Limited,unmatched,,0.67,FORTERRO UK 123 INSIGHT LIMITED,04624870
"126 Newland Avenue,",126 newland avenue,False,False,Hull,,Worker (A rating),Skilled Worker,"126 Newland Avenue,",unmatched,,0.3546,"FURNACE AVENUE, LAMBERHURST LIMITED",09959567
13th Street Hospitality Ltd t/a Sunday in Brooklyn,13th street hospitality t a sunday in brooklyn,False,False,London,,Worker (A rating),Skilled Worker,13th Street Hospitality Ltd t/a Sunday in Brooklyn,unmatched,,0.475,13TH STREET HOSPITALITY LTD,13135428
1440Sports Management LTD,1440sports management,False,False,London,London,Worker (A rating),Skilled Worker,1440Sports Management LTD,unmatched,,0.6618,1440 SPORTS MANAGEMENT LIMITED,11577907
1512 Limited T/A AGAssociates,1512 t a agassociates,False,False,Wallington,Surrey,Worker (A rating),Skilled Worker,1512 Limited T/A AGAssociates,unmatched,,0.5095,1512 INVESTMENTS LIMITED,15877775
16 Barrack Ltd TA Saffron Indian Restaurant & Pizza Place,16 barrack ta saffron indian restaurant pizza place,False,False,Woodbridge,,Worker (A rating),Skilled Worker,16 Barrack Ltd TA Saffron Indian Restaurant & Pizza Place,unmatched,,0.4931,SAFFRON AUTHENTIC INDIAN RESTAURANT LTD,16957397
18A Charing Cross Dental Surgery,18a charing cross dental surgery,False,False,London,,Worker (A rating),Skilled Worker,18A Charing Cross Dental Surgery,unmatched,,0.5467,CHARING CROSS ASSOCIATION (FULHAM) LIMITED(THE),01389902
19 BY K & R CATERING LTD T/A 19 BY KATHERINE CARR,19 by k r catering t a 19 by katherine carr,False,False,BALLYCASTLE,NORTHERN IRELAND,Worker (A rating),Skilled Worker,19 BY K & R CATERING LTD T/A 19 BY KATHERINE CARR,unmatched,,0.6308,19 BY K & R CATERING LTD,NI722495
1905 Group Limited T/A 1905,1905 t a 1905,False,False,London,,Worker (A rating),Skilled Worker,1905 Group Limited T/A 1905,unmatched,,0.4531,1905 GROUP LIMITED,11772804
"1947 Restaurant & Bar Ltd T/A 1947 Restaurant, Bar & Pizza Kitchen",1947 restaurant bar t a 1947 restaurant bar pizza kitchen,False,False,London,,Worker (A rating),Skilled Worker,"1947 Restaurant & Bar Ltd T/A 1947 Restaurant, Bar & Pizza Kitchen",unmatched,,0.5205,1947 BAR & RESTAURANT LTD,12115097
1986 The Kebab Kafe (just halal Kebabs),1986 the kebab kafe just halal kebabs,False,False,Sheffield,South Yorkshire,Worker (A rating),Skilled Worker,1986 The Kebab Kafe (just halal Kebabs),unmatched,,0.4909,JUST HALAL KEBABS LTD,16250540
199 Clinic Limited t/a London Longevity Clinic,199 clinic t a london longevity clinic,False,False,London,,Worker (A rating),Skilled Worker,199 Clinic Limited t/a London Longevity Clinic,unmatched,,0.5921,LONDON LONGEVITY CLINIC LIMITED,15833713
1CLICK STUDIO,1click studio,False,False,DAGENHAM,Essex,Worker (A rating),Skilled Worker,1CLICK STUDIO,unmatched,,0.4992,1CLICKSTUDIO LIMITED,10583523
1D Agency Ltd T/A One Day Agency,1d agency t a one day agency,False,False,MANCHESTER,,Worker (A rating),Skilled Worker,1D Agency Ltd T/A One Day Agency,unmatched,,0.4857,DAY & NIGHT HEALTHCARE AGENCY LTD,11355545
1SA LIMITED T/A Subway,1sa t a subway,False,False,Hammersmith,,Worker (A rating),Skilled Worker,1SA LIMITED T/A Subway,unmatched,,0.3714,SUBWAY LIMITED,16037972
1ST CHOICE RESOURCE GRP LTD,1st choice resource grp,False,False,Edinburgh,,Worker (A rating),Skilled Worker,1ST CHOICE RESOURCE GRP LTD,unmatched,,0.7078,1ST CHOICE GRP SERVICES LIMITED,14019290
1st Care Limited t/as The Hawthorne Nursing Home,1st care t as the hawthorne nursing home,False,False,Nottinghamshire,,Worker (A rating),Skilled Worker,1st Care Limited t/as The Hawthorne Nursing Home,unmatched,,0.47,RED HOUSE NURSING HOME LIMITED(THE),02098595
2 Agriculture Limited T/A 2 Agriculture,2 agriculture t a 2 agriculture,False,False,Newbridge,Midlothian,Worker (A rating),Skilled Worker,2 Agriculture Limited T/A 2 Agriculture,unmatched,,0.6477,2 AGRICULTURE LIMITED,SC156515
2 Guyz Limited,2 guyz,False,False,Illford,,Worker (A rating),Skilled Worker,2 Guyz Limited,unmatched,,0.5,BIG GUYZ LTD,16602602
2-4c,2 4c,False,False,Brentwood,,Worker (A rating),Skilled Worker,2-4c,unmatched,,0.35,24C LTD,07518452
2023 Cool Foods Ltd T/A Oishii Sushi,2023 cool foods t a oishii sushi,False,False,London,Middlesex,Worker (A rating),Skilled Worker,2023 Cool Foods Ltd T/A Oishii Sushi,unmatched,,0.5746,2023 COOL FOODS LTD,14678518
214 Limited T/A Chai Naasto,214 t a chai naasto,False,False,Beckenham,Kent,Worker (A rating),Skilled Worker,214 Limited T/A Chai Naasto,unmatched,,0.5467,CHAI NAASTO DISTRIBUTION LTD,10186308
2399098 Ontario Inc o/a MAK Consulting Group,2399098 ontario o a mak consulting,False,False,High Wycombe,Bucks,Worker (A rating),Skilled Worker,2399098 Ontario Inc o/a MAK Consulting Group,unmatched,,0.2887,1000320199 ONTARIO INC.,FC040170
24/7 Medicine Limited T/ A 24-7 Pharmacy,24 7 medicine t a 24 7 pharmacy,False,False,Liverpool,Merseyside,Worker (A rating),Skilled Worker,24/7 Medicine Limited T/ A 24-7 Pharmacy,unmatched,,0.4666,MEDICINE CHEST PHARMACY LIMITED,03774794
24x7 Limited,24x7,False,False,Dunmow,Essex,Worker (A rating),Skilled Worker,24x7 Limited,unmatched,,0.6031,24X7 (CHESHIRE) LIMITED,11936500
27@Northgate GP Practice,27 northgate gp practice,False,False,Oxford,,Worker (A rating),Skilled Worker,27@Northgate GP Practice,unmatched,,0.4585,BALLYMENA GP PRACTICE C.I.C.,NI694147
"289 Imaging Ltd, Trading as 'The Ultrasound Clinic'",289 imaging trading as the ultrasound clinic,False,False,Silsoe,,Worker (A rating),Skilled Worker,"289 Imaging Ltd, Trading as 'The Ultrasound Clinic'",unmatched,,0.4545,ALTRINCHAM ULTRASOUND & IMAGING LIMITED,15963992
29 Spices,29 spices,False,False,Bournemouth,,Worker (A rating),Skilled Worker,29 Spices,unmatched,,0.45,AFRICAN SPICES LTD,07371131
2BROTHERSCHILOS LIMITED T/A CHILO'S,2brotherschilos t a chilo s,False,False,STIRLING,,Worker (A rating),Skilled Worker,2BROTHERSCHILOS LIMITED T/A CHILO'S,unmatched,,0.4722,2BROTHERSCHILOS LIMITED,SC804035
2Excel Aviation Ltd,2excel aviation,False,False,Sywell,Northants,Worker (A rating),Skilled Worker,2Excel Aviation Ltd,unmatched,,0.575,2 EXCEL AVIATION LIMITED,05391365
2R1 Limited T/A German Doner Kebab,2r1 t a german doner kebab,False,False,Ruislip,,Worker (A rating),Skilled Worker,2R1 Limited T/A German Doner Kebab,unmatched,,0.6148,GERMAN DONER KEBAB & GRILL LTD,13105772
2TECK LIMITED,2teck,False,False,WATERLOOVILLE,,Worker (A rating),Skilled Worker,2TECK LIMITED,unmatched,,0.4633,2 TECK LIMITED,04834894
3 HA Limited,3 ha,False,False,Colchester,,Worker (A rating),Skilled Worker,3 HA Limited,unmatched,,0.43,3HA LIMITED,08383683
3 M & H LTD T/A MOUCHAK STREET,3 m h t a mouchak street,False,False,Birmingham,ENGLAND,Worker (A rating),Skilled Worker,3 M & H LTD T/A MOUCHAK STREET,unmatched,,0.5348,MOUCHAK STREET LIMITED,16655227
3 YAAR LIMITED T/AS TANDOORI FUSION,3 yaar t as tandoori fusion,False,False,Wembley Park,Wembley,Worker (A rating),Skilled Worker,3 YAAR LIMITED T/AS TANDOORI FUSION,unmatched,,0.4381,HARBOUR TANDOORI FUSION LTD,15205569
