Organisation Name,ch_company_number,ch_company_name,ch_sic_codes,sic_tech_score,is_active_score,company_age_score,company_type_score,name_keyword_score,role_fit_score,role_fit_bucket
Telefonica Tech UK Data & AI Limited,05727383,TELEFÓNICA TECH UK DATA & AI LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.15,0.95,strong
Data Cloud Ltd,07049539,DATA CLOUD LIMITED,62012,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
Data Technology Limited,02154023,DATA TECHNOLOGY LIMITED,62020;62030;62090,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
Methods Business and Digital Technology,02485577,METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,62020;70229,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
Nimbus Digital & Technology Innovations,03337471,NIMBUS DIGITAL & TECHNOLOGY INNOVATIONS LTD,62020,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
SAAS&CLOUD LIMITED,09875880,SAAS & CLOUD LIMITED,62020,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
Virtual Tech Cloud Ltd,09267503,VIRTUAL TECH CLOUD LTD,62020,0.5,0.1,0.12,0.08,0.1,0.8999999999999999,strong
AD Data Analytics Ltd,11936177,AD DATA ANALYTICS LTD,62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
AI Digital Limited,11103317,AI DIGITAL LIMITED,62012;62020;70229,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
AI Tech Ltd,11214171,AI-TECH-UK LTD,58290;62012;62090,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
APP TECH DEVELOPMENT LIMITED,10174308,APP TECH DEVELOPMENT LIMITED,62011,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Aybola Software and Technology Ltd,10616005,AYBOLA SOFTWARE AND TECHNOLOGY LTD,62012;62020;62090,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
BB2 Digital and Technology Services Ltd,13074216,BB2 DIGITAL AND TECHNOLOGY SERVICES LTD,62020;62090;78300;82990,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
BIG DATA SCIENCE & TECHNOLOGY LIMITED,11257000,BIG DATA SCIENCE & TECHNOLOGY LIMITED,62020;70229;72190;74100,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
CM CLOUD & DEVOPS LTD,11823641,CM CLOUD & DEVOPS LTD,62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Cloud Digital Limited,11415603,DIGITAL CLOUD LIMITED,62090,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Data Market Information Technology Ltd,12698422,DATA MARKET INFORMATION TECHNOLOGY UK LTD,62012;62020;70229;82990,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Digital Data Consultancy Ltd,11917559,DIGITAL DATA CONSULTANCY LTD,46510;62012;62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Digital Devops Limited,10935668,DIGITAL DEVOPS LIMITED,62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
European Data Analytics Limited,10786902,EUROPEAN DATA ANALYTICS LIMITED,62012;62020;62090,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Insight Data Analytics Limited,11402029,INSIGHT DATA ANALYTICS LIMITED,62012;62020;63110,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
NY TECH DIGITAL LTD,12933245,NY TECH DIGITAL LTD,62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Sand Tech AI (UK) Ltd,11554357,SAND TECH AI (UK) LTD,62090,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
Tech Automation Limited,11906882,TECH AUTOMATION LIMITED,62020,0.5,0.1,0.1,0.08,0.1,0.8799999999999999,strong
3B DIGITAL LTD,07231331,3B DIGITAL LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
3Gi Technology Limited,07085607,3GI TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
542 Digital Limited,09682228,542 DIGITAL LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
6B Digital Limited,08780271,6B DIGITAL LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
A Cloud Guru Ltd,09602737,A CLOUD GURU LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
A K Software House Ltd,07684817,A K SOFTWARE HOUSE LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
A Tech IT Services Ltd,08397392,A-TECH IT SERVICES LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
A2Z Cloud Ltd.,09758206,A2Z CLOUD LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
A2Z SOFTWARE SOLUTIONS LIMITED,08461989,A2Z SOFTWARE SOLUTIONS LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
AARUN SOFTWARE LIMITED,09247366,AARUN SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
